title,category,region,year,photo
"Château Margaux, Bordeaux",Wine,Bordeaux,2007,https://images.vivino.com/thumbs/vLZJ_crgT1Gu8X7vX-ZhiA_375x500.jpg
"Château Lafite Rothschild, Pauillac",Wine,Bordeaux,2013,https://images.vivino.com/thumbs/xf6LwvkFT0OK5pQvJDmFoA_375x500.jpg
"Château Mouton Rothschild, Pauillac",Wine,Bordeaux,2011,https://images.vivino.com/thumbs/VJwCj-fAT5mCE8KDnQk4fg_375x500.jpg
"Château Latour, Pauillac",Wine,Bordeaux,2015,https://images.vivino.com/thumbs/N19sSR5ASfavVP6b0WRn1w_375x500.jpg
